Gene.name,Genes,Gene_B73v3,X,X.1,X.2,X.3,X.4,X.5
AT1G48000,MYB112,TF,AT1G48000.1,myb domain protein 112,Encodes a putative transcription factor (MYB112).,"myb domain protein 112 (MYB112); CONTAINS InterPro DOMAIN/s: SANT, DNA-binding (InterPro:IPR001005), Homeodomain-like (InterPro:IPR009057), Myb, DNA-binding (InterPro:IPR014778), HTH transcriptional regulator, Myb-type, DNA-binding (InterPro:IPR017930), Homeodomain-related (InterPro:IPR012287), Myb transcription factor (InterPro:IPR015495); BEST Arabidopsis thaliana protein match is: myb domain protein 78 (TAIR:AT5G49620.1); Has 8716 Blast hits to 8036 proteins in 469 species: Archae - 0; Bacteria - 0; Metazoa - 760; Fungi - 469; Plants - 5758; Viruses - 6; Other Eukaryotes - 1723 (source: NCBI BLink).",MYB112,myb domain protein 112
AT1G48500,TIFY6A,TF,AT1G48500.3,jasmonate-zim-domain protein 4,---,"jasmonate-zim-domain protein 4 (JAZ4); FUNCTIONS IN: protein binding; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Tify (InterPro:IPR010399), CCT domain-like (InterPro:IPR018467); BEST Arabidopsis thaliana protein match is: jasmonate-zim-domain protein 3 (TAIR:AT3G17860.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",TIFY6A,TIFY DOMAIN PROTEIN 6A
AT1G49010,AT1G49010,TF,AT1G49010.1,Duplicated homeodomain-like superfamily protein,---,"Duplicated homeodomain-like superfamily protein; CONTAINS InterPro DOMAIN/s: Molecular chaperone, heat shock protein, Hsp40, DnaJ (InterPro:IPR015609), SANT, eukarya (InterPro:IPR017884), Myb-like DNA-binding domain, SHAQKYF class (InterPro:IPR006447), SANT, DNA-binding (InterPro:IPR001005), Myb, DNA-binding (InterPro:IPR014778), Homeodomain-like (InterPro:IPR009057), HTH transcriptional regulator, Myb-type, DNA-binding (InterPro:IPR017930); BEST Arabidopsis thaliana protein match is: Duplicated homeodomain-like superfamily protein (TAIR:AT5G08520.1); Has 2158 Blast hits to 2138 proteins in 225 species: Archae - 0; Bacteria - 22; Metazoa - 311; Fungi - 95; Plants - 1498; Viruses - 2; Other Eukaryotes - 230 (source: NCBI BLink).",---,---
AT1G49130,AT1G49130,TF,AT1G49130.2,B-box type zinc finger protein with CCT domain,---,"B-box type zinc finger protein with CCT domain; FUNCTIONS IN: sequence-specific DNA binding transcription factor activity, zinc ion binding; INVOLVED IN: regulation of transcription; LOCATED IN: intracellular; CONTAINS InterPro DOMAIN/s: CCT domain (InterPro:IPR010402), Zinc finger, B-box (InterPro:IPR000315); BEST Arabidopsis thaliana protein match is: B-box type zinc finger protein with CCT domain (TAIR:AT1G73870.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",---,---
AT1G49475,AT1G49475,TF,AT1G49475.1,AP2/B3-like transcriptional factor family protein,---,"AP2/B3-like transcriptional factor family protein; FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription, DNA-dependent; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Transcriptional factor B3 (InterPro:IPR003340); BEST Arabidopsis thaliana protein match is: AP2/B3-like transcriptional factor family protein (TAIR:AT3G18960.1); Has 448 Blast hits to 416 proteins in 17 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 448; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",---,---
AT1G49480,RTV1,TF,AT1G49480.1,related to vernalization1 1,---,"related to vernalization1 1 (RTV1); FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription, DNA-dependent; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Transcriptional factor B3 (InterPro:IPR003340); BEST Arabidopsis thaliana protein match is: AP2/B3-like transcriptional factor family protein (TAIR:AT3G18990.1); Has 354 Blast hits to 329 proteins in 20 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 0; Plants - 352; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",RTV1,related to vernalization1 1
AT1G49560,AT1G49560,TF,AT1G49560.1,Homeodomain-like superfamily protein,---,"Homeodomain-like superfamily protein; CONTAINS InterPro DOMAIN/s: Homeodomain-like (InterPro:IPR009057), Myb, DNA-binding (InterPro:IPR014778), Myb-like DNA-binding domain, SHAQKYF class (InterPro:IPR006447), HTH transcriptional regulator, Myb-type, DNA-binding (InterPro:IPR017930), Homeodomain-related (InterPro:IPR012287); BEST Arabidopsis thaliana protein match is: myb-like transcription factor family protein (TAIR:AT1G68670.1); Has 1610 Blast hits to 1602 proteins in 63 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1585; Viruses - 0; Other Eukaryotes - 25 (source: NCBI BLink).",---,---
AT1G49720,ABF1,TF,AT1G49720.2,abscisic acid responsive element-binding factor 1,Identified as a protein that binds to abscisic acid response elements. May mediate transcriptional regulation of ABA responses.,"abscisic acid responsive element-binding factor 1 (ABF1); CONTAINS InterPro DOMAIN/s: Basic-leucine zipper (bZIP) transcription factor (InterPro:IPR004827), bZIP transcription factor, bZIP-1 (InterPro:IPR011616); BEST Arabidopsis thaliana protein match is: ABRE binding factor 4 (TAIR:AT3G19290.1).",ABF1,abscisic acid responsive element-binding factor 1
AT1G49900,AT1G49900,TF,AT1G49900.1,C2H2 type zinc finger transcription factor family,---,"C2H2 type zinc finger transcription factor family; FUNCTIONS IN: sequence-specific DNA binding transcription factor activity, zinc ion binding, nucleic acid binding; LOCATED IN: intracellular; CONTAINS InterPro DOMAIN/s: Zinc finger, C2H2-like (InterPro:IPR015880), Zinc finger, C2H2-type (InterPro:IPR007087); BEST Arabidopsis thaliana protein match is: zinc-finger protein 2 (TAIR:AT3G19580.2); Has 13177 Blast hits to 8629 proteins in 489 species: Archae - 12; Bacteria - 972; Metazoa - 5177; Fungi - 1539; Plants - 2420; Viruses - 128; Other Eukaryotes - 2929 (source: NCBI BLink).",---,---
AT1G49950,TRB1,TF,AT1G49950.3,telomere repeat binding factor 1,"Encodes a telomeric DNA binding protein. In vitro, an N-terminal Myb domain enables it to interact with double-stranded telomeric repeats.","telomere repeat binding factor 1 (TRB1); FUNCTIONS IN: DNA binding, protein homodimerization activity, sequence-specific DNA binding transcription factor activity, double-stranded telomeric DNA binding; INVOLVED IN: in 8 processes; LOCATED IN: nucleus, nucleosome; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Winged helix-turn-helix transcription repressor DNA-binding (InterPro:IPR011991), SANT, DNA-binding (InterPro:IPR001005), Myb, DNA-binding (InterPro:IPR014778), Homeodomain-like (InterPro:IPR009057), Histone H1/H5 (InterPro:IPR005818), Homeodomain-related (InterPro:IPR012287), HTH transcriptional regulator, Myb-type, DNA-binding (InterPro:IPR017930); BEST Arabidopsis thaliana protein match is: telomere repeat binding factor 3 (TAIR:AT3G49850.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",TRB1,telomere repeat binding factor 1
AT1G50420,SCL3,TF,AT1G50420.1,scarecrow-like 3,Encodes a scarecrow-like protein (SCL3) Putative transcription factors interacting with the gene product of VHA-B1 (vacuolar ATPase subunit B1; as shown through yeast two-hybrid assay).,scarecrow-like 3 (SCL3); CONTAINS InterPro DOMAIN/s: Transcription factor GRAS (InterPro:IPR005202); BEST Arabidopsis thaliana protein match is: SCARECROW-like 21 (TAIR:AT2G04890.1); Has 3106 Blast hits to 2488 proteins in 309 species: Archae - 0; Bacteria - 6; Metazoa - 0; Fungi - 0; Plants - 3100; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,SCL3,scarecrow-like 3
AT1G50600,SCL5,TF,AT1G50600.1,scarecrow-like 5,Encodes a scarecrow-like protein (SCL5). Member of GRAS gene family.,scarecrow-like 5 (SCL5); CONTAINS InterPro DOMAIN/s: Transcription factor GRAS (InterPro:IPR005202); BEST Arabidopsis thaliana protein match is: GRAS family transcription factor (TAIR:AT5G48150.2); Has 3554 Blast hits to 3276 proteins in 342 species: Archae - 0; Bacteria - 9; Metazoa - 107; Fungi - 18; Plants - 2497; Viruses - 1; Other Eukaryotes - 922 (source: NCBI BLink).,SCL5,scarecrow-like 5
AT1G50620,AT1G50620,TF,AT1G50620.1,RING/FYVE/PHD zinc finger superfamily protein,---,"RING/FYVE/PHD zinc finger superfamily protein; FUNCTIONS IN: DNA binding, zinc ion binding; INVOLVED IN: regulation of transcription, DNA-dependent; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Zinc finger, PHD-type, conserved site (InterPro:IPR019786), Zinc finger, PHD-type (InterPro:IPR001965), Zinc finger, FYVE/PHD-type (InterPro:IPR011011), Zinc finger, PHD-finger (InterPro:IPR019787); BEST Arabidopsis thaliana protein match is: RING/FYVE/PHD zinc finger superfamily protein (TAIR:AT3G20280.1); Has 3714 Blast hits to 3101 proteins in 414 species: Archae - 4; Bacteria - 443; Metazoa - 1736; Fungi - 538; Plants - 319; Viruses - 13; Other Eukaryotes - 661 (source: NCBI BLink).",---,---
AT1G50640,ERF3,TF,AT1G50640.1,ethylene responsive element binding factor 3,"encodes a member of the ERF (ethylene response factor) subfamily B-1 of ERF/AP2 transcription factor family (ATERF-3). The protein contains one AP2 domain. There are 15 members in this subfamily including ATERF-3, ATERF-4, ATERF-7, and leafy petiole.","ethylene responsive element binding factor 3 (ERF3); CONTAINS InterPro DOMAIN/s: DNA-binding, integrase-type (InterPro:IPR016177), Pathogenesis-related transcriptional factor/ERF, DNA-binding (InterPro:IPR001471); BEST Arabidopsis thaliana protein match is: ethylene response factor 7 (TAIR:AT3G20310.1); Has 5989 Blast hits to 5713 proteins in 252 species: Archae - 0; Bacteria - 0; Metazoa - 1; Fungi - 2; Plants - 5972; Viruses - 0; Other Eukaryotes - 14 (source: NCBI BLink).",ERF3,ethylene responsive element binding factor 3
AT1G51070,bHLH115,TF,AT1G51070.2,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,---,"basic Helix-Loop-Helix 115 (bHLH115); FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription; LOCATED IN: nucleus; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092), Helix-loop-helix DNA-binding (InterPro:IPR011598); BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding superfamily protein (TAIR:AT5G54680.1).",bHLH115,basic Helix-Loop-Helix 115
AT1G51140,AT1G51140,TF,AT1G51140.1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,---,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein; FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription; LOCATED IN: nucleus; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092), Helix-loop-helix DNA-binding (InterPro:IPR011598); BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding superfamily protein (TAIR:AT2G42280.1); Has 1835 Blast hits to 1829 proteins in 66 species: Archae - 0; Bacteria - 0; Metazoa - 1; Fungi - 5; Plants - 1818; Viruses - 0; Other Eukaryotes - 11 (source: NCBI BLink).",---,---
AT1G51600,ZML2,TF,AT1G51600.2,ZIM-LIKE 2,member of a novel family of plant-specific GATA-type transcription factors.,"ZIM-LIKE 2 (ZML2); FUNCTIONS IN: sequence-specific DNA binding, sequence-specific DNA binding transcription factor activity, zinc ion binding; INVOLVED IN: regulation of transcription, DNA-dependent; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Tify (InterPro:IPR010399), Zinc finger, GATA-type (InterPro:IPR000679), CCT domain (InterPro:IPR010402); BEST Arabidopsis thaliana protein match is: ZIM-like 1 (TAIR:AT3G21175.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",ZML2,ZIM-LIKE 2
AT1G51700,DOF1,TF,AT1G51700.1,DOF zinc finger protein 1,Encodes dof zinc finger protein (adof1).,"DOF zinc finger protein 1 (DOF1); CONTAINS InterPro DOMAIN/s: Zinc finger, Dof-type (InterPro:IPR003851); BEST Arabidopsis thaliana protein match is: DOF zinc finger protein 2 (TAIR:AT3G21270.1); Has 1091 Blast hits to 1086 proteins in 56 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1086; Viruses - 0; Other Eukaryotes - 5 (source: NCBI BLink).",DOF1,DOF zinc finger protein 1
AT1G51950,IAA18,TF,AT1G51950.1,indole-3-acetic acid inducible 18,---,"indole-3-acetic acid inducible 18 (IAA18); FUNCTIONS IN: sequence-specific DNA binding transcription factor activity; INVOLVED IN: response to auxin stimulus; LOCATED IN: nucleus; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Aux/IAA-ARF-dimerisation (InterPro:IPR011525), AUX/IAA protein (InterPro:IPR003311); BEST Arabidopsis thaliana protein match is: phytochrome-associated protein 1 (TAIR:AT3G16500.1); Has 1911 Blast hits to 1901 proteins in 77 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1911; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",IAA18,indole-3-acetic acid inducible 18
AT1G52150,ICU4,TF,AT1G52150.3,Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein,Member of the class III HD-ZIP protein family. Contains homeodomain and leucine zipper domain. Critical for vascular development and negatively regulates vascular cell differentiation.,"ATHB-15; CONTAINS InterPro DOMAIN/s: Homeobox (InterPro:IPR001356), Homeodomain-like (InterPro:IPR009057), Lipid-binding START (InterPro:IPR002913), MEKHLA (InterPro:IPR013978), Homeodomain-related (InterPro:IPR012287); BEST Arabidopsis thaliana protein match is: homeobox gene 8 (TAIR:AT4G32880.1); Has 3126 Blast hits to 3055 proteins in 249 species: Archae - 0; Bacteria - 0; Metazoa - 767; Fungi - 91; Plants - 2233; Viruses - 0; Other Eukaryotes - 35 (source: NCBI BLink).",ICU4,INCURVATA 4
AT1G52520,FRS6,TF,AT1G52520.1,FAR1-related sequence 6,---,"FAR1-related sequence 6 (FRS6); FUNCTIONS IN: zinc ion binding; INVOLVED IN: response to red or far red light; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 12 growth stages; CONTAINS InterPro DOMAIN/s: MULE transposase, conserved domain (InterPro:IPR018289), Zinc finger, PMZ-type (InterPro:IPR006564), Transcription factor, FAR1-related (InterPro:IPR004330), Zinc finger, SWIM-type (InterPro:IPR007527); BEST Arabidopsis thaliana protein match is: FAR1-related sequence 8 (TAIR:AT1G80010.1); Has 1626 Blast hits to 1478 proteins in 38 species: Archae - 0; Bacteria - 0; Metazoa - 10; Fungi - 91; Plants - 1518; Viruses - 0; Other Eukaryotes - 7 (source: NCBI BLink).",FRS6,FAR1-related sequence 6
AT1G52830,SHY1,TF,AT1G52830.1,indole-3-acetic acid 6,An extragenic dominant suppressor of the hy2 mutant phenotype. Also exhibits aspects of constitutive photomorphogenetic phenotype in the absence of hy2. Mutants have dominant leaf curling phenotype shortened hypocotyls and reduced apical hook. Induced by indole-3-acetic acid.,"indole-3-acetic acid 6 (IAA6); CONTAINS InterPro DOMAIN/s: Aux/IAA-ARF-dimerisation (InterPro:IPR011525), AUX/IAA protein (InterPro:IPR003311); BEST Arabidopsis thaliana protein match is: indole-3-acetic acid inducible 19 (TAIR:AT3G15540.1); Has 1737 Blast hits to 1736 proteins in 78 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1736; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).",SHY1,SHORT HYPOCOTYL 1
AT1G52880,NARS2,TF,AT1G52880.1,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein,Transcription factor with a NAC domain.  Homologous to the petunia gene NAM which is required for the development of the shoot. Expressed in the embryo.,"NO APICAL MERISTEM (NAM); FUNCTIONS IN: sequence-specific DNA binding transcription factor activity; INVOLVED IN: multicellular organismal development, regulation of transcription; LOCATED IN: cellular_component unknown; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 12 growth stages; CONTAINS InterPro DOMAIN/s: No apical meristem (NAM) protein (InterPro:IPR003441); BEST Arabidopsis thaliana protein match is: NAC domain containing protein  2 (TAIR:AT3G15510.1); Has 3040 Blast hits to 3032 proteins in 79 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 0; Plants - 3034; Viruses - 0; Other Eukaryotes - 4 (source: NCBI BLink).",NARS2,NAC-REGULATED SEED MORPHOLOGY 2
AT1G52890,NAC019,TF,AT1G52890.1,NAC domain containing protein 19,"encodes a NAC transcription factor whose expression is induced by drought, high salt, and abscisic acid. This gene binds to ERD1 promoter in vitro.",NAC domain containing protein 19 (NAC019); CONTAINS InterPro DOMAIN/s: No apical meristem (NAM) protein (InterPro:IPR003441); BEST Arabidopsis thaliana protein match is: NAC domain containing protein 3 (TAIR:AT3G15500.1); Has 3041 Blast hits to 3033 proteins in 75 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 3041; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,NAC019,NAC domain containing protein 19
AT1G53160,SPL4,TF,AT1G53160.2,squamosa promoter binding protein-like 4,"Encodes a member of the SPL (squamosa-promoter binding protein-like)gene family, a novel gene family encoding DNA binding proteins and putative transcription factors.  Contains the SBP-box, which encodes the SBP-domain, required and sufficient for interaction with DNA. It is involved in regulation of flowering and vegetative phase change.  Its temporal expression is regulated by the microRNA miR156. The target site for the microRNA is in the 3'UTR.","squamosa promoter binding protein-like 4 (SPL4); FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of vegetative phase change, regulation of transcription; LOCATED IN: nucleus; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Squamosa promoter-binding protein (InterPro:IPR017238), Transcription factor, SBP-box (InterPro:IPR004333); BEST Arabidopsis thaliana protein match is: squamosa promoter binding protein-like 5 (TAIR:AT3G15270.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",SPL4,squamosa promoter binding protein-like 4
AT1G53170,ERF8,TF,AT1G53170.1,ethylene response factor 8,"encodes a member of the ERF (ethylene response factor) subfamily B-1 of ERF/AP2 transcription factor family (ATERF-8). The protein contains one AP2 domain. There are 15 members in this subfamily including ATERF-3, ATERF-4, ATERF-7, and leafy petiole.","ethylene response factor 8 (ERF8); CONTAINS InterPro DOMAIN/s: DNA-binding, integrase-type (InterPro:IPR016177), Pathogenesis-related transcriptional factor/ERF, DNA-binding (InterPro:IPR001471); BEST Arabidopsis thaliana protein match is: ethylene responsive element binding factor 4 (TAIR:AT3G15210.1); Has 5970 Blast hits to 5718 proteins in 254 species: Archae - 0; Bacteria - 2; Metazoa - 0; Fungi - 0; Plants - 5959; Viruses - 0; Other Eukaryotes - 9 (source: NCBI BLink).",ERF8,ethylene response factor 8
AT1G53230,TCP3,TF,AT1G53230.1,"TEOSINTE BRANCHED 1, cycloidea and PCF transcription factor 3","Encodes a member of a recently identified plant transcription factor family that includes Teosinte branched 1, Cycloidea 1, and proliferating cell nuclear antigen (PCNA) factors, PCF1 and 2. Regulated by miR319. Involved in heterchronic regulation of leaf differentiation.","TEOSINTE BRANCHED 1, cycloidea and PCF transcription factor 3 (TCP3); CONTAINS InterPro DOMAIN/s: Transcription factor, TCP (InterPro:IPR005333), Transcription factor TCP subgroup (InterPro:IPR017887); BEST Arabidopsis thaliana protein match is: TCP family transcription factor 4 (TAIR:AT3G15030.3); Has 1510 Blast hits to 1508 proteins in 333 species: Archae - 0; Bacteria - 12; Metazoa - 43; Fungi - 12; Plants - 1439; Viruses - 2; Other Eukaryotes - 2 (source: NCBI BLink).",TCP3,"TEOSINTE BRANCHED 1, cycloidea and PCF transcription factor 3"
AT1G53320,TLP7,TF,AT1G53320.1,tubby like protein 7,Member of TLP family,"tubby like protein 7 (TLP7); CONTAINS InterPro DOMAIN/s: Tubby, C-terminal, conserved site (InterPro:IPR018066), Tubby, C-terminal (InterPro:IPR000007); BEST Arabidopsis thaliana protein match is: tubby like protein 3 (TAIR:AT2G47900.2); Has 954 Blast hits to 946 proteins in 118 species: Archae - 0; Bacteria - 0; Metazoa - 352; Fungi - 19; Plants - 468; Viruses - 0; Other Eukaryotes - 115 (source: NCBI BLink).",TLP7,tubby like protein 7
AT1G53910,RAP2.12,TF,AT1G53910.3,related to AP2 12,encodes a member of the ERF (ethylene response factor) subfamily B-2 of ERF/AP2 transcription factor family (RAP2.12). The protein contains one AP2 domain. There are 5 members in this subfamily including RAP2.2 AND RAP2.12.,"related to AP2 12 (RAP2.12); FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription, DNA-dependent; LOCATED IN: nucleus; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: DNA-binding, integrase-type (InterPro:IPR016177), Pathogenesis-related transcriptional factor/ERF, DNA-binding (InterPro:IPR001471); BEST Arabidopsis thaliana protein match is: related to AP2 2 (TAIR:AT3G14230.2); Has 6180 Blast hits to 5848 proteins in 262 species: Archae - 0; Bacteria - 6; Metazoa - 0; Fungi - 0; Plants - 6130; Viruses - 0; Other Eukaryotes - 44 (source: NCBI BLink).",RAP2.12,related to AP2 12
AT1G54060,ASIL1,TF,AT1G54060.1,6B-interacting protein 1-like 1,Member of the trihelix DNA binding protein family. Nuclear localized. Involved in repressing seed maturation genes during seed germination and seedling development.,"6B-interacting protein 1-like 1 (ASIL1); FUNCTIONS IN: sequence-specific DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: response to auxin stimulus, regulation of shoot development, regulation of seed germination, regulation of transcription; LOCATED IN: nucleolus, nucleus; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 16 growth stages; BEST Arabidopsis thaliana protein match is: sequence-specific DNA binding transcription factors (TAIR:AT3G14180.1); Has 1288 Blast hits to 1162 proteins in 176 species: Archae - 0; Bacteria - 142; Metazoa - 401; Fungi - 73; Plants - 538; Viruses - 7; Other Eukaryotes - 127 (source: NCBI BLink).",ASIL1,6B-interacting protein 1-like 1
AT1G54160,NFYA5,TF,AT1G54160.1,"nuclear factor Y, subunit A5",Encodes a member of the CCAAT-binding transcription factor (CBF-B/NF-YA) family. Expression is upregulated in response to ABA and drought. This regulation appears to be mediated by MIR169A which is downregulated in  response to drought. NFYA5 is a target of MIR169A. Loss of function mutations are hypersensitive to drought.,"nuclear factor Y, subunit A5 (NF-YA5); FUNCTIONS IN: sequence-specific DNA binding transcription factor activity, specific transcriptional repressor activity; INVOLVED IN: response to water deprivation, negative regulation of gene-specific transcription, regulation of transcription, DNA-dependent; LOCATED IN: CCAAT-binding factor complex, nucleus; EXPRESSED IN: 10 plant structures; EXPRESSED DURING: LP.04 four leaves visible, 4 anthesis, C globular stage, petal differentiation and expansion stage, D bilateral stage; CONTAINS InterPro DOMAIN/s: CCAAT-binding transcription factor, subunit B (InterPro:IPR001289), CCAAT-binding factor, conserved site (InterPro:IPR018362); BEST Arabidopsis thaliana protein match is: nuclear factor Y, subunit A6 (TAIR:AT3G14020.1); Has 683 Blast hits to 683 proteins in 160 species: Archae - 0; Bacteria - 0; Metazoa - 143; Fungi - 133; Plants - 381; Viruses - 0; Other Eukaryotes - 26 (source: NCBI BLink).",NFYA5,NUCLEAR FACTOR Y A5
AT1G54390,ING2,TF,AT1G54390.6,PHD finger protein-related,ING2 encodes a member of the Inhibitor of Growth family of nuclear-localized PhD domain containing homeodomain proteins. Binds to H3K4 di or trimethylated DNA.,"INHIBITOR OF GROWTH 2 (ING2); CONTAINS InterPro DOMAIN/s: Zinc finger, PHD-type (InterPro:IPR001965), Zinc finger, FYVE/PHD-type (InterPro:IPR011011), Zinc finger, PHD-finger (InterPro:IPR019787); BEST Arabidopsis thaliana protein match is: RING/FYVE/PHD zinc finger superfamily protein (TAIR:AT3G24010.1); Has 1316 Blast hits to 1312 proteins in 191 species: Archae - 0; Bacteria - 0; Metazoa - 731; Fungi - 422; Plants - 94; Viruses - 0; Other Eukaryotes - 69 (source: NCBI BLink).",ING2,INHIBITOR OF GROWTH 2
AT1G54830,NF-YC3,TF,AT1G54830.3,"nuclear factor Y, subunit C3",---,"nuclear factor Y, subunit C3 (NF-YC3); FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription, DNA-dependent; LOCATED IN: nucleus, intracellular; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Transcription factor CBF/NF-Y/archaeal histone (InterPro:IPR003958), Histone-fold (InterPro:IPR009072); BEST Arabidopsis thaliana protein match is: nuclear factor Y, subunit C9 (TAIR:AT1G08970.2); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",NF-YC3,"nuclear factor Y, subunit C3"
AT1G55110,IDD7,TF,AT1G55110.1,indeterminate(ID)-domain 7,---,"indeterminate(ID)-domain 7 (IDD7); FUNCTIONS IN: sequence-specific DNA binding transcription factor activity, zinc ion binding, nucleic acid binding; INVOLVED IN: regulation of transcription; LOCATED IN: intracellular; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Zinc finger, C2H2-like (InterPro:IPR015880), Zinc finger, C2H2-type (InterPro:IPR007087); BEST Arabidopsis thaliana protein match is: indeterminate(ID)-domain 11 (TAIR:AT3G13810.1); Has 54650 Blast hits to 21530 proteins in 476 species: Archae - 0; Bacteria - 0; Metazoa - 51826; Fungi - 384; Plants - 807; Viruses - 2; Other Eukaryotes - 1631 (source: NCBI BLink).",IDD7,indeterminate(ID)-domain 7
